Username;Date;Time in;Time out;IP Address
jag;09/01/2015;04:41 GMT;-;82.47.57.6
jag;07/01/2015;07:57 GMT;-;82.47.57.6
jag;18/12/2014;11:33 GMT;11:33 GMT;49.207.178.71
jag;18/12/2014;10:09 GMT;-;82.47.57.6
jag;16/12/2014;07:26 GMT;11:33 GMT;49.207.178.71
jag;15/12/2014;08:01 GMT;-;82.47.57.6
jag;15/12/2014;07:26 GMT;-;82.47.57.6
jag;13/12/2014;09:36 GMT;12:38 GMT;49.207.178.71
jag;12/12/2014;12:09 GMT;12:18 GMT;49.207.178.71
jag;12/12/2014;10:45 GMT;-;82.47.57.6
jag;12/12/2014;09:06 GMT;-;82.47.57.6
jag;12/12/2014;09:00 GMT;12:18 GMT;49.207.178.71
jag;12/12/2014;07:50 GMT;09:00 GMT;49.207.178.71
jag;12/12/2014;07:34 GMT;09:00 GMT;49.207.178.71
jag;12/12/2014;07:28 GMT;-;82.47.57.6
jag;12/12/2014;02:11 GMT;-;82.47.57.6
jag;11/12/2014;10:16 GMT;-;82.47.57.6
jag;10/12/2014;03:34 GMT;03:34 GMT;49.207.178.71
jag;10/12/2014;03:32 GMT;03:32 GMT;49.207.178.71
jag;10/12/2014;03:15 GMT;-;82.47.57.6
